SiteID	Chr	Loc	Gene	Island
cg00000029	16	53468112	RBL2	UCSC_RBL2_Promoter
cg00000103	4	73470186	NA	NA
cg00000109	3	171916037	FNDC3B	NA
cg00000155	7	2590565	BRAT1	NA
cg00000158	9	95010555	IARS	NA
cg00000165	1	91194674	NA	NA
cg00000221	17	54534248	ANKFN1	NA
cg00000236	8	42263294	VDAC3	NA
cg00000289	14	69341139	ACTN1	NA
cg00000292	16	28890100	ATP2A1	UCSC_ATP2A1_Promoter
cg00000321	8	41167802	SFRP1	UCSC_SFRP1_Promoter
cg00000363	1	230560793	NA	NA
cg00000540	1	28462664	NA	NA
cg00000579	9	101464233	GABBR2	NA
cg00000596	8	133098502	HHLA1	NA
cg00000622	15	23034447	NIPA2	UCSC_NIPA2_Promoter
cg00000658	9	139997924	MAN1B1	NA
cg00000714	19	54695678	TSEN34	NA
cg00000721	6	25282779	LRRC16A	NA
cg00000734	3	128902377	CNBP	UCSC_CNBP_Promoter
cg00000765	1	230404313	GALNT2	NA
