[Header]
GSGX Version	1.1.0
Report Date	8/19/2017 11:05:30 AM
Project	EPIC_DEMO_GS
Group Set	EPIC_DEMO
Analysis	EPIC_DEMO_controls_bkgd
Normalization	controls
[Sample Methylation Profile]
TargetID	200144450018_R04C01.AVG_Beta	200144450018_R04C01.Detection Pval	200144450019_R07C01.AVG_Beta	200144450019_R07C01.Detection Pval	200144450021_R05C01.AVG_Beta	200144450021_R05C01.Detection Pval	
cg00000029	0.47092	0.00000	0.42902	0.00000	0.43947	0.00000	
cg00000103	0.54032	0.00000	0.54183	0.00000	0.55247	0.00000	
cg00000109	0.89698	0.00000	0.91658	0.00000	0.92946	0.00000	
cg00000155	0.91579	0.00000	0.93047	0.00000	0.90236	0.00000	
cg00000158	0.94599	0.00000	0.93456	0.00000	0.90841	0.00000	
cg00000165	0.09360	0.00000	0.10129	0.00000	0.08949	0.00000	
cg00000221	0.55979	0.00000	0.62136	0.00000	0.61772	0.00000	
cg00000236	0.88765	0.00000	0.86456	0.00000	0.88729	0.00000	
cg00000289	0.26071	0.00000	0.36918	0.00000	0.24111	0.00000	
cg00000292	0.87595	0.00000	0.88611	0.00000	0.85678	0.00000	
cg00000321	0.31869	0.00000	0.37599	0.00000	0.36218	0.00000	
cg00000363	0.35255	0.00000	0.34747	0.00000	0.33154	0.00000	
cg00000540	0.73595	0.00000	0.73875	0.00000	0.75044	0.00000	
cg00000579	0.74560	0.00000	0.75240	0.00000	0.72460	0.00000	
cg00000596	0.05274	0.00000	0.05113	0.00000	0.04739	0.00000	
cg00000622	0.01419	0.00000	0.00000	0.00000	0.01686	0.00000	
cg00000658	0.72536	0.00000	0.76512	0.00000	0.75788	0.00000	
cg00000714	0.33115	0.00000	0.33733	0.00000	0.33092	0.00000	
cg00000721	0.56284	0.00000	0.56071	0.00000	0.55531	0.00000	
cg00000734	0.08214	0.00000	0.08809	0.00000	0.08778	0.00000	
cg00000765	0.88998	0.00000	0.91349	0.00000	0.90495	0.00000	
