SiteID	5958154021_R01C01	5958154021_R02C01	5958154021_R03C01	5958154021_R04C01	5958154021_R05C01	5958154021_R06C01
cg02530437	0.86735	0.85278	0.79655	0.05028	0.05347	0.05399
cg05668853	0.82321	0.80439	0.80211	0.07243	0.07718	0.06579
cg06964756	0.03700	0.04175	0.04126	0.04970	0.03900	0.03398
cg07116015	0.05524	0.04326	0.04993	0.05308	0.04241	0.05146
cg08032476	0.89100	0.86371	0.85773	0.07507	0.07317	0.06012
cg08839210	0.81456	0.89320	0.84865	0.03055	0.02733	0.02535
cg12873610	0.97430	0.97373	0.97278	0.05317	0.04893	0.06234
cg18686527	0.97689	0.97756	0.97390	0.00000	0.00330	0.00107
cg19009921	0.05841	0.05171	0.06627	0.05914	0.06254	0.05543
cg19548004	0.03308	0.02821	0.03351	0.04270	0.04818	0.03907
cg19982230	0.77097	0.73430	0.77951	0.04427	0.04700	0.05758
cg21237418	0.85214	0.81697	0.82875	0.05457	0.05512	0.06458
cg21816330	0.96982	0.97815	0.98074	0.00614	0.00000	0.00448
cg22359162	0.88237	0.90856	0.90443	0.91437	0.91172	0.92416
cg22632666	0.86396	0.85853	0.87237	0.85613	0.88075	0.86293
cg22803868	0.90019	0.88795	0.89260	0.03656	0.03027	0.02660
cg00781795	0.84636	0.89559	0.83852	0.80462	0.84848	0.83695
cg00809267	0.78929	0.76480	0.76474	0.73041	0.80785	0.78112
cg02870676	0.03540	0.02476	0.06737	0.24376	0.27881	0.20414
cg02937491	0.06207	0.04369	0.09543	0.83244	0.80931	0.75381
cg03478631	0.16405	0.18456	0.17758	0.21333	0.23247	0.21905
cg03593076	0.92662	0.96093	0.91790	0.89968	0.92311	0.84820
cg03604930	0.86263	0.86488	0.88522	0.87572	0.93772	0.94812
cg05276978	0.72820	0.69797	0.70892	0.68159	0.64468	0.66783
cg05290572	0.92820	0.86995	0.87102	0.90785	0.93773	0.91743
cg07023867	0.03149	0.02137	0.02235	0.02318	0.02805	0.02748
cg07324054	0.90788	0.90293	0.93109	0.91516	0.92767	0.91516
cg09657097	0.04566	0.02703	0.03525	0.03933	0.03889	0.03866
cg11211204	0.83997	0.84456	0.81950	0.92725	0.90864	0.91408
cg12079266	0.94788	0.90148	0.96358	0.92273	0.94125	0.89526
cg12827950	0.85007	0.90555	0.91940	0.87705	0.87684	0.90410
cg12876333	0.00000	0.00000	0.00320	0.01688	0.03713	0.00718
cg13009302	0.25067	0.14620	0.24242	0.69674	0.78791	0.70706
g13410877	0.02597	0.01632	0.03799	0.02204	0.03025	0.02848
cg14186816	0.09448	0.10438	0.09318	0.93788	0.92412	0.94700
cg14914822	0.00084	0.00733	0.01449	0.00000	0.00410	0.00000
cg15245625	0.09077	0.09190	0.08386	0.89041	0.91253	0.92589
cg15733882	0.07392	0.06816	0.06546	0.97498	0.94876	0.94940
cg15990955	0.79681	0.85196	0.79936	0.85736	0.90552	0.85612
cg16467015	0.91328	0.93984	0.92400	0.93952	0.92683	0.92083
cg16502980	0.02594	0.00041	0.00000	0.03654	0.00000	0.02988
cg16576811	0.04469	0.03749	0.05070	0.89278	0.86021	0.86761
cg17017564	0.85190	0.89485	0.90281	0.81947	0.76193	0.85373
cg17066033	0.88786	0.91748	0.93346	0.88853	0.84504	0.88352
cg17889402	0.04676	0.04281	0.06972	0.90627	0.92880	0.88483
cg18036248	0.21930	0.22053	0.23072	0.04639	0.03782	0.03066
cg18524262	0.91915	0.91019	0.90769	0.92011	0.90941	0.92567
cg18687085	0.31181	0.35332	0.40535	0.22913	0.16970	0.09597
cg18720828	0.87452	0.89406	0.88006	0.88849	0.87085	0.90837
cg18971282	0.92189	0.90045	0.87673	0.93134	0.93354	0.94061
cg20659941	0.31463	0.30470	0.37846	0.91815	0.89404	0.85827
cg20976694	0.88134	0.86597	0.86740	0.38056	0.39641	0.30306
cg21068094	0.04537	0.07178	0.03826	0.90323	0.89467	0.92192
cg21585100	0.97715	0.98095	0.97388	0.98128	0.97377	0.97657
